index,name,type_code,type_name,addressable,parent_index,region,area,city,settlement,act_date,url
101000,Москва,О,Отделение почтовой связи,1,127950,Москва,,,,2011-01-21,https://pochtovyindex.ru/index/101000/
101300,Москва-300,ТИ,Технический индекс,0,101000,Москва,,,,2012-02-21,https://pochtovyindex.ru/index/101300/
101700,Уфпс Г. Москвы,УФПС,Управление федеральной почтовой связи,0,,Москва,,,,2017-05-18,https://pochtovyindex.ru/index/101700/
101701,Склад №1 Уфпс Г. Москвы,СКЛАД ТМЦ,Склад,0,101700,Москва,Внуково район,63,,2025-02-27,https://pochtovyindex.ru/index/101701/
101702,Склад №2 Уфпс Г. Москвы,СКЛАД ТМЦ,Склад,0,101700,Москва,,,,2020-01-16,https://pochtovyindex.ru/index/101702/
101710,Ивц Уфпс Г. Москвы,ИВЦ,ИВЦ,0,101700,Москва,,,,2026-08-18,https://pochtovyindex.ru/index/101710/
101720,Москва Уопк-Фл,УЧ. ОЦИФРОВКИ,УЧ. ОЦИФРОВКИ,0,125950,Москва,,,,2025-09-25,https://pochtovyindex.ru/index/101720/
101721,Москва Уопк-1,УЧ. ОЦИФРОВКИ,УЧ. ОЦИФРОВКИ,0,125950,Москва,,,,2024-09-24,https://pochtovyindex.ru/index/101721/
101722,Москва Уопк-2,УЧ. ОЦИФРОВКИ,УЧ. ОЦИФРОВКИ,0,119950,Москва,,,,2026-03-18,https://pochtovyindex.ru/index/101722/
101723,Москва Уопк-3,УЧ. ОЦИФРОВКИ,УЧ. ОЦИФРОВКИ,0,117950,Москва,,,,2024-12-13,https://pochtovyindex.ru/index/101723/
101731,Москва Атп-2,АТП,АТП,0,101700,Москва,,,,2025-03-18,https://pochtovyindex.ru/index/101731/
101732,Москва Атп-3,АТП,АТП,0,101700,Москва,,,,2025-03-18,https://pochtovyindex.ru/index/101732/
101733,Москва Атп,АТП,АТП,0,101700,Москва,,,,2024-06-17,https://pochtovyindex.ru/index/101733/
101734,Подольск Атп,АТП,АТП,0,101700,Московская область,,Подольск,,2024-06-17,https://pochtovyindex.ru/index/101734/
101735,Марушкинское Атп,АТП,АТП,0,101700,Москва,Внуково район,Шарапово,,2025-03-18,https://pochtovyindex.ru/index/101735/
101736,Москва Атп-4,АТП,АТП,0,101700,Москва,,,,2025-03-18,https://pochtovyindex.ru/index/101736/
101748,Москва-Дти,ДТИ,Дополнительный технический индекс,0,101000,Москва,,,,2022-12-20,https://pochtovyindex.ru/index/101748/
101749,Москва-Дти,ДТИ,Дополнительный технический индекс,0,101000,Москва,,,,2006-11-09,https://pochtovyindex.ru/index/101749/
101751,Москва-Дти,ДТИ,Дополнительный технический индекс,0,101000,Москва,,,,2006-11-09,https://pochtovyindex.ru/index/101751/
101753,Москва-Дти,ДТИ,Дополнительный технический индекс,0,101000,Москва,,,,2006-11-09,https://pochtovyindex.ru/index/101753/
101760,Москва Мсп-3 Уч. Нерозданных По,УННО,УННО,0,111970,Москва,,,,2025-12-29,https://pochtovyindex.ru/index/101760/
101764,Москва-Казанский Вокзал Пждп Цех-4 Уч-4,УЧАСТОК,УЧАСТОК,0,102006,Москва,,,,2017-09-18,https://pochtovyindex.ru/index/101764/
101767,Москва-Дти,ДТИ,Дополнительный технический индекс,0,101000,Москва,,,,2006-11-09,https://pochtovyindex.ru/index/101767/
101768,Москва-Дти,ДТИ,Дополнительный технический индекс,0,101000,Москва,,,,2006-11-09,https://pochtovyindex.ru/index/101768/
101772,Москва-Дти,ДТИ,Дополнительный технический индекс,0,101000,Москва,,,,2006-11-09,https://pochtovyindex.ru/index/101772/
101773,Москва-Дти,ДТИ,Дополнительный технический индекс,0,101000,Москва,,,,2006-11-09,https://pochtovyindex.ru/index/101773/
101775,Москва-Дти,ДТИ,Дополнительный технический индекс,0,101000,Москва,,,,2006-11-09,https://pochtovyindex.ru/index/101775/
101779,Москва-Дти,ДТИ,Дополнительный технический индекс,0,101000,Москва,,,,2006-11-23,https://pochtovyindex.ru/index/101779/
101782,Москва-Дти,ДТИ,Дополнительный технический индекс,0,101000,Москва,,,,2006-11-23,https://pochtovyindex.ru/index/101782/
101784,Москва-Дти,ДТИ,Дополнительный технический индекс,0,101000,Москва,,,,2006-11-23,https://pochtovyindex.ru/index/101784/
101785,Москва-Дти,ДТИ,Дополнительный технический индекс,0,101000,Москва,,,,2006-11-23,https://pochtovyindex.ru/index/101785/
